    Vardas             Pavarde     ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
   Vardas1            Pavarde1       3       3       2       7       3       8       7       2       5       8      10       4      10       2       9      10
   Vardas2            Pavarde2       2       9       8       3       7       6       9       4       5       7       7       7       1       4      10       7
   Vardas3            Pavarde3       4       1       2       2       5       5      10      10       4       1       6       5       3       8       6       1
   Vardas4            Pavarde4       2       8       2       3       5       3       2      10       6       1       1       8       3       3       9       9
   Vardas5            Pavarde5      10       8      10       3       6       8       8       7       6       2       2       7       5       8       7       4
   Vardas6            Pavarde6       4       5       6      10       9       4       2       2       8       8       6       7       3       4       7       9
   Vardas7            Pavarde7       4      10      10       7       4       5       9       4       3      10       6       5       7       5       4       5
   Vardas8            Pavarde8       8       5       4       5      10       9       5       7       4       1       2       8       8       8       9       4
   Vardas9            Pavarde9       9       1       5       6      10       8       6       1       1       6       1       2      10       1       7       5
  Vardas10           Pavarde10       9       5       6       1       2       2       6       2       1       8       5      10       9       1       4       1
  Vardas11           Pavarde11       5       7       9       6       1       7       7       1       4       8       2       9       8       1       2       5
  Vardas12           Pavarde12       8       5       7       6       6       9       9       8       8      10       1       1       9       4       8       3
  Vardas13           Pavarde13      10       9       1       4       8       3       6       9       6       1       4       1       7       7       6       5
  Vardas14           Pavarde14       5       4       9      10       7       4       4       2       5       5       9       2       4       3       9       7
  Vardas15           Pavarde15       4       5       5       6       6       4       3       4       6       5       3       7       8       3       6       6
  Vardas16           Pavarde16       6       8       4       8       4       6       2       6       8       6       7       1      10       2       4       6
  Vardas17           Pavarde17       3       3       5       8       1       5       1       7       7      10       4       6       4       4       3       2
  Vardas18           Pavarde18       8       7       6       4       7       5       6       9       6       9       5       3       6       8       5       4
  Vardas19           Pavarde19       9       3       6       6       3       3       9       9      10       4       5       9       2      10      10       7
  Vardas20           Pavarde20       4       9       8       7      10       3      10       3       4      10       8       7       9       9       4      10
  Vardas21           Pavarde21       4       7      10       9       7       6       3       9       1       1       8       2       8       4       4       1
  Vardas22           Pavarde22       3      10       6       6       1       8       4      10      10       9       9       7       2      10       7       6
  Vardas23           Pavarde23       8       5       9       1       4       8       5       8      10       7       6       4       4      10       6       2
  Vardas24           Pavarde24      10      10       2       4       8       8       4       7       7       4       6       3       9       5       5       4
  Vardas25           Pavarde25       5       3       2       5       8       7       5       4       2       8       3       2       8       5       1       3
  Vardas26           Pavarde26       3       5       3       6       5       7       6       3       5      10       1       4      10       7       8       9
  Vardas27           Pavarde27       3       8       4       9       5       3      10       6       8      10       7       5       8       1       4       2
  Vardas28           Pavarde28       2       1       2       1       6       1       3       4       5       5       9      10       7       2       6       4
  Vardas29           Pavarde29       4       5       7       6       4       5       1       7       8       4       4       6       4       2       1       6
  Vardas30           Pavarde30       8       1       5       6       9       3      10       7      10       8       6       2      10       4       6       3
  Vardas31           Pavarde31       6       4       5       1       9       5       4       8       3       8       3       2       2       2       4      10
  Vardas32           Pavarde32       2       5      10       7       4       9       9       6      10       5       8       9       7       6       1       2
  Vardas33           Pavarde33       8       8      10       3      10       6       3       6       6       5       3       8       8       7       3      10
  Vardas34           Pavarde34       8       7       8       7       6       3       8       6       2       5       1       4       8       1       1       6
  Vardas35           Pavarde35       9       5       6       7       9       6       2       4       4      10       4       4       2      10       9       6
  Vardas36           Pavarde36       9       7       1      10      10       9       7       1       9       4      10       2       5       9      10       1
  Vardas37           Pavarde37      10       1       4       2       1       8       5       5       1       7       2       3       6       2       3       4
  Vardas38           Pavarde38      10       9       1      10       7       9       5       2       8       6       2       2      10       3       3      10
  Vardas39           Pavarde39       9       2       5       9       7       4       9       1       7       6       8       1       8       3       9       2
  Vardas40           Pavarde40       9       3       8       9       5       1       3       2       5       2       7       9       6       5      10       5
  Vardas41           Pavarde41       4       3       7       8       3      10       7       3       9      10       2      10       2       6       3       1
  Vardas42           Pavarde42       1       3       7       3       4       5       3       8       4      10       9       4       8       6       5       8
  Vardas43           Pavarde43       6       4       8       4       8       1       7       9      10       5       2       5       1       7       5      10
  Vardas44           Pavarde44       7       2       7       9       9       7       5       5       6       9       8       5       5       8       5       6
  Vardas45           Pavarde45      10       4       1       6       5       7       5       3       9       6       1       5       4      10      10       3
  Vardas46           Pavarde46       5       4       4       2       1       3       1       7      10       3       7       9       7       7       2       4
  Vardas47           Pavarde47       2       3       6       9       4       3       8       6       6       3       7       6       7       3       5       5
  Vardas48           Pavarde48       5       9       8       1      10       2      10       3       4       7      10       8       6       7       8       8
  Vardas49           Pavarde49       1       8       3       8       8       8      10       5       2       7       2      10       9       6       3       6
  Vardas50           Pavarde50       4       4       7       4       9      10       8       9       1       3       3       8       3       5       6       6
  Vardas51           Pavarde51       4       9       3      10       9       4       1       6       1       4       9       2       9       7       7       6
  Vardas52           Pavarde52       9       1       8       6       1       3       3       5       6       1       5       3       7       9       2       5
  Vardas53           Pavarde53       1       6      10       4      10       7       8       9       8       2       6       8       1       3       8       7
  Vardas54           Pavarde54       9       2       2       2       8       7       2       8       7       9       3       7       9       1       5       1
  Vardas55           Pavarde55       1       5       2       6       8       3       7       9       6       1       7       7       4      10       7       5
  Vardas56           Pavarde56       7       9       9       9       7      10       2       1       5       9       3       9       1       6       5       9
  Vardas57           Pavarde57       1       4       4       3       7       6       7      10       1       4       3      10      10       9       9       7
  Vardas58           Pavarde58       1       7       7       6       5       8       3       9       3       8       7       6       7      10       2       2
  Vardas59           Pavarde59       9       8       3       1       2       8       6       1       6       1       7       8      10       7       7       3
  Vardas60           Pavarde60       5       4       8       8      10       7       3       9       7       4      10       7       5       5       5       3
  Vardas61           Pavarde61      10       5      10       4       6       9       4       6       1       5       3       2       9       8       9      10
  Vardas62           Pavarde62       4       9       9       8       9       6       9       1      10       8       8       8       7       3       4       5
  Vardas63           Pavarde63       1       3       2       5       5      10       8       5       3       5       3       7       5       6       7       5
  Vardas64           Pavarde64       5       8       4       4       3       7       3       3       8      10       9       2       3       4       1       9
  Vardas65           Pavarde65       8       3       4       9       9       5       8      10       9       5       8       4       9       2       1       2
  Vardas66           Pavarde66       8       6       1       7       2       8       3       8      10       7       7       6       1       8       3       6
  Vardas67           Pavarde67       7       5       9       4       3       2       6       5       1       4       6       5       2       5       2       1
  Vardas68           Pavarde68       6       6       5       6       8       4       9       2       1       5       7       1       9       7       6       4
  Vardas69           Pavarde69       9       9       4       4       6       1       7       3       4       7       7       1       2       7       9       7
  Vardas70           Pavarde70       6      10       4       6       6       1       8       2       5      10       8       4       9      10       8       2
  Vardas71           Pavarde71       3       3       6       6       5       8       5       5       5       1       1      10       6       5       6       1
  Vardas72           Pavarde72       6       6       1       8       1       7       7       5       1       5       6      10       2       7       2       7
  Vardas73           Pavarde73      10      10       9       4       3       5      10       5       2       9       5       2       6       5       7       1
  Vardas74           Pavarde74       9       1      10       5       6       6       1       7       9       8       9       6       5      10       7       6
  Vardas75           Pavarde75      10      10       1       9       8      10       3      10      10       9       9       6       9       1       8       9
  Vardas76           Pavarde76       8       3       1       2      10       3       3      10       6      10       3       8       5       1       1       4
  Vardas77           Pavarde77       2       3      10       1       2       3       1       8       2       8       7       5      10       7       6       4
  Vardas78           Pavarde78       9       3       7       4       9       2       4       3       3       7       7       7       4       2       2       6
  Vardas79           Pavarde79       5       4       9       8       2       9       2       1       6       2       5       9       7       3       4      10
  Vardas80           Pavarde80       6       5       4       6       3       4       7       2       7      10       8       8       4       9       6       5
  Vardas81           Pavarde81       7       9       7       3       3       4       4       4       4       1       7      10       7       5       3       6
  Vardas82           Pavarde82       8       2       1       6       3       5       9       4       2       5       9       2       4       4       3       7
  Vardas83           Pavarde83       5       8       8       1       3       5       1       4       9       5       4       3       3       5       6       9
  Vardas84           Pavarde84       2      10       6       9      10       8       9       8       2       8       3      10       3       9       9       9
  Vardas85           Pavarde85       5       3      10       6       9       3       1       5       8      10       5      10       5       5      10       8
  Vardas86           Pavarde86       9       5       1       2       4       6       5       2       7       1       3       1       2       8       6       3
  Vardas87           Pavarde87       8      10       7       6       2       8       3       4       2      10       3       6       1      10       6       4
  Vardas88           Pavarde88       6       5       1       6       2       2       3       8       1      10       6       8       7       4       2       1
  Vardas89           Pavarde89       6       7      10       8       6      10       4       9      10       9       2       7       1       4       9       7
  Vardas90           Pavarde90       1       3       8      10       9       3       2       2       8      10       3       3       6       9       7       2
  Vardas91           Pavarde91       6       4       3      10       8       6       2      10      10       3       2       1       5       2       4       4
  Vardas92           Pavarde92       8       5       2       1       9       3       2      10       7       1       3       9       3       7       9       1
  Vardas93           Pavarde93       3       8       6       1       3      10       9       2       6       7       8       8       9       5       7       1
  Vardas94           Pavarde94       8      10       4       4       9       5       9       1       1       2       8       8       6       6       1       7
  Vardas95           Pavarde95       1       7       4      10       7       9       8       9       3       7      10       4       1       4       2      10
  Vardas96           Pavarde96       4       1       3       7       9       5       2       1       7       3       8      10       5       4       8       9
  Vardas97           Pavarde97       3       3       8       6       1       3       3       1       2       4       6      10       9       6       5       2
  Vardas98           Pavarde98      10       4       1       3       6       6       2       9       7       1       6       4      10       2       8       7
  Vardas99           Pavarde99       6       6       4       2       7       1       2       6       9       7       3       7       9       9       1       6
 Vardas100          Pavarde100       7       7      10       7       1       4       1       1       1       8      10       9       9       7       7       9
 Vardas101          Pavarde101       9       2       6      10       2       3       6       9       5       7       3       1       6       2       7       1
 Vardas102          Pavarde102       2       8      10      10       8       2       6       1       8      10       2       2      10       9      10       7
 Vardas103          Pavarde103       6       3       7       7       9       5       2       2       1       3       3       3       9       6       9       4
 Vardas104          Pavarde104       1       9       3       7       8       6       6       8       3       6       5      10      10       5       3       2
 Vardas105          Pavarde105       9       9       1       3       4       1       5       6       9       1       3       9       7       5       7       3
 Vardas106          Pavarde106       3       5       2       3       6       7       6       5       7       4       5       9      10       5       6       9
 Vardas107          Pavarde107       1       8       6       7      10       7      10       1      10       6       3       1       8       4       3       2
 Vardas108          Pavarde108       3       7       8       5       6       1       2      10       7       5       8       1       3       7       2       5
 Vardas109          Pavarde109       7       1       4       3       1       2       6       8       5       3       4      10       7       7       8       2
 Vardas110          Pavarde110       5       1       7       6       2       1       9       1       7       1       9       6       5       9       3       3
 Vardas111          Pavarde111       5       4      10       2       8       4       8      10       2      10       6       9       4      10       7       9
 Vardas112          Pavarde112       6       6       9       9       6       9       9       5       7       7       3       9       4       9       5       9
 Vardas113          Pavarde113       2       6       3       5       4       4       1       8       1      10       9       6       4       8       3       2
 Vardas114          Pavarde114      10      10      10      10       6       2       2       2      10       7       2       6       3       5       7       1
 Vardas115          Pavarde115       3      10       7       9       2       7       6       7       1       9       6       2      10       5       9      10
 Vardas116          Pavarde116       2       5       1       2       8       2       9       5       1       9       2       9       7       5       5       6
 Vardas117          Pavarde117       4      10       8       5      10       3       5       7       1       7       6       9       2       6       6       8
 Vardas118          Pavarde118       3       9      10       4       6       1       6       1       6       2       5       8       3      10      10       2
 Vardas119          Pavarde119       8       8       4       7      10       4      10       3       8      10       5       5       1       3       5       1
 Vardas120          Pavarde120       9       8       5       7       2       1       3       1      10       5       5      10       9       2       2       2
 Vardas121          Pavarde121       4       9      10       4       5       1       9       7       6       1       1       5       1       5       3       5
 Vardas122          Pavarde122       1       8       6       8       6       2       5      10       1       2       9       3       9       2       9       9
 Vardas123          Pavarde123       2       6       8       9      10       5       7       4      10       2       8       2       1       4       9       1
 Vardas124          Pavarde124       9       6       7       7       8       7       4       9       2       4      10       6       3       1       2       8
 Vardas125          Pavarde125       3       1      10       9       6       8       6       6       9       8       8       3       6       2       3       5
 Vardas126          Pavarde126       8       6       5       5       8       8       6       9       6       7       6       5       3       7       9      10
 Vardas127          Pavarde127       8       7       9       7       1       3       2       2       9       4       6       9       2       5       9       5
 Vardas128          Pavarde128       7       3       9       6       2       2       2       2       9       6       9       5       7       6       4       8
 Vardas129          Pavarde129       1       2       8       4       6       8       8       9       7       6       3       8       4       1       3       4
 Vardas130          Pavarde130       6       6       2       5       3       3      10       7       6       1       8       1       3       3       4       9
 Vardas131          Pavarde131       6       2       1       3       2       5       9       4       7       6       5       2       9       7       8       3
 Vardas132          Pavarde132       8       5       8       6       8       6       1       1       2       1       7       4       3       3       3       5
 Vardas133          Pavarde133      10       5       2       5       3       6       9       4       4      10       4       2       9       8       5       7
 Vardas134          Pavarde134       8      10       3       2       4       1       3       1       8       7       6       9       3       4       9       3
 Vardas135          Pavarde135       6       3       5       9       1       1       6       7       1       4       6       8       6       4       6       7
 Vardas136          Pavarde136       4       6       4       2       5      10      10       4       8       9       8       7       8       7       7      10
 Vardas137          Pavarde137       7       4       5       5       1       8       1      10      10       8       4       7       9      10       3       9
 Vardas138          Pavarde138       1       6       9       1       3       8       7       5       8       6       5       9       3       2       6       5
 Vardas139          Pavarde139       6       7       5       8       4       1       6       4       3       8       3      10      10       4       8       9
 Vardas140          Pavarde140       2       4       4       8       9       5       2       9       9      10       8       5       7       9       2       1
 Vardas141          Pavarde141       7       2       4       1       1       2       9       8       5       3       9      10       3      10       2       2
 Vardas142          Pavarde142       3       9       8       1      10       2       1       1       8       2       3       2      10       6       5       3
 Vardas143          Pavarde143      10       8       3       3       4       5       6       9       8       9      10       4      10      10       8       2
 Vardas144          Pavarde144       7       1       9       5       4       3       9       2       3       6      10       9       8       7       9       6
 Vardas145          Pavarde145       6       2       2       3       1       7       4       6       6       6       6       8       6       6       3       2
 Vardas146          Pavarde146       2       8       4       4       2       1       3       4       1       7       4       5       4      10       6       2
 Vardas147          Pavarde147      10       4       3       4       4       6       8       4       7       6       8       5       3       4       4       7
 Vardas148          Pavarde148       9       4       5       9       7       4       3       6       3       4       1       1       1       2       2       2
 Vardas149          Pavarde149      10       6       6       1       5      10      10      10       6       9       2       7       2       3      10       4
 Vardas150          Pavarde150       1       5       8       8       5       6       3       3       7       4       1       8      10       5       7       8
 Vardas151          Pavarde151       3      10       5       4       8       9       4       7       6       3       2       9       2       7       4       4
 Vardas152          Pavarde152       6       9       4       2       9       1       3       8       6       8       1       5       5      10       9      10
 Vardas153          Pavarde153       4      10       9       8       3       7      10       9       3       2       7       9       2       3       7       1
 Vardas154          Pavarde154       1       8       3       8       8       5       1       2       3       6       7       7       6       2       2       5
 Vardas155          Pavarde155       7       3       3       7      10       7       3       7       7       4       6      10      10       8       8       8
 Vardas156          Pavarde156       8       3       3       8       8       3       4       2       2       5       1       7       5       5       8       6
