    Vardas             Pavarde     ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
   Vardas1            Pavarde1       7       9       9      10       9       3       8       7       2       6       1       5       9       4       7       2
   Vardas2            Pavarde2       3       9       8       4       9       6       3       1       2       7       2       9       2       1       2      10
   Vardas3            Pavarde3       9      10       6      10       1       5       2       9       1       5       6       3       7       9       3       4
   Vardas4            Pavarde4       5       5      10       4       4       4       1       4       4       8      10       9       7       5       1       3
   Vardas5            Pavarde5       1       7       9       6       1       7       5       6       7       1       1       6       7       8       6      10
   Vardas6            Pavarde6       9       1       1       9       6       1       1       1       4       3       2       9       3       9       1       2
   Vardas7            Pavarde7       5       2      10       7       4      10       1       8       7       3       9       9       1       5       2       8
   Vardas8            Pavarde8       3       2       9      10       3       9       6       6      10       6       2       7       3      10       9       6
   Vardas9            Pavarde9      10       9       9       8       6       2      10       1       4       9       7       6       8       2       9       2
  Vardas10           Pavarde10       6       6       4       9       6       3       9       2       7       4       1       8       6       2       5       5
  Vardas11           Pavarde11       1       4       5      10       7      10       2       1       8       4       1       2       8       7       8       5
  Vardas12           Pavarde12       5       5       3       7       8       6       8       7       8       6       9       3       8       6       7       2
  Vardas13           Pavarde13       2       9       4      10      10       5       3       5      10       6       9       9       8       3       4       4
  Vardas14           Pavarde14       5       1       3       5       7      10       1       5       1       7       2       1       5      10       3       3
  Vardas15           Pavarde15      10       6       6       8       2       3       3       7       5       6       4      10       1       2       9       5
  Vardas16           Pavarde16       3       4       8      10       4       1       8       7       8       8       1       1      10       1       2       5
  Vardas17           Pavarde17      10       1       2       5       9       2       8       7       7       4       8       7       6       3       1       2
  Vardas18           Pavarde18       7       5       6       5       8       2       1      10      10       3       6       5       2       7       7       2
  Vardas19           Pavarde19       4       9       3       5       6       3       7       3       1       9       3       7       5       9       9       8
  Vardas20           Pavarde20       9       6       7       3       7      10       5       6       7       3       9       2       9       7       4       5
  Vardas21           Pavarde21       5       7       6       4       1       2       9       2       8       1       2       3       6       2       7       7
  Vardas22           Pavarde22       6       6       8       3       6       5       3       4       7       4       5       7      10       6       3       9
  Vardas23           Pavarde23       8       5      10       1       9       4       1       9       2       1       9       1       3       8       1      10
  Vardas24           Pavarde24       3       8       5       9       8       8       9       4      10      10       9       9       6       3       8       4
  Vardas25           Pavarde25       3       4       2       5       1       3       7       7       2       9       6      10       6       1       3       8
  Vardas26           Pavarde26       2       8       4       8       3       9       1       7       3       2       1       6       1       5       6       9
  Vardas27           Pavarde27       2       2       1       2       5       2       1       3      10       3       8       2       9       3       2      10
  Vardas28           Pavarde28       4       4       2       1       3       4       9       1       3       9       3       2       2       6       1       4
  Vardas29           Pavarde29      10       9       4       6       4       9       6       7       1       1       7      10       1       9       3       5
  Vardas30           Pavarde30       8       6       5       3       3       5      10       1       9      10       5       7       7       9       3       8
  Vardas31           Pavarde31       2       5       4       4       9       4       1       3      10       9      10       2       5       5       4      10
  Vardas32           Pavarde32      10       4       8       5       8      10       9       6       7      10       1       1       5       8       3       7
  Vardas33           Pavarde33       3      10       7      10       7       1       7      10       7       8       9       5       8       9       9       4
  Vardas34           Pavarde34       5       4       1       8       1       7       2       1       1       3       2       1       5       7       3      10
  Vardas35           Pavarde35      10       1       7       7       4       9       5       2       6       1      10       2       2       1      10       3
  Vardas36           Pavarde36       4       4      10       9       8       6       5       1       2       5       1       1       7       6       6      10
  Vardas37           Pavarde37       3      10      10       5       4       4       6       2      10      10       8       2       3       9      10      10
  Vardas38           Pavarde38       5       7       4       3       2       8       4       8       9       1      10       2       4       3       6       3
  Vardas39           Pavarde39      10       2       7       8       2       7       3       3       9      10       1       8       4       9       9       1
  Vardas40           Pavarde40       9       5       9       3       6       5       6       5       8       3       3      10       9      10       3       1
  Vardas41           Pavarde41       2      10       1       2       3       8       5       8       3       1       1      10       6       3       3      10
  Vardas42           Pavarde42       8       8       6       9       4       2       9       4       8       9       3       7       6       7       4       9
  Vardas43           Pavarde43       4      10       2       9       7      10       5       8       6       3       7       5       4       5       5       4
  Vardas44           Pavarde44       1       6       1       6       7       6       7       7       6       3       6       2      10      10       9       9
  Vardas45           Pavarde45      10       6       2       8       9       7       5       5       5      10       4       3       1       5       6       2
  Vardas46           Pavarde46       1       5       6       9       5       3       1       1       6       7       4       6       8       1       3      10
  Vardas47           Pavarde47       5       6       3       4       2       5       1       6       8       8       1       9       1       2       4       8
  Vardas48           Pavarde48       4       1       8       3       5       3       6       9       5       7       2       1       8       3       2       1
  Vardas49           Pavarde49       8       8       4       6       8       1       1       1       8       9       9       3       2       4       1       4
  Vardas50           Pavarde50       1       8       9       1       2       5       2       4       2       1       3       9       7       8       8       3
